CME_ID,t0,dt0_h,pa_deg,da_deg,v_km_s,dv_km_s,minv_km_s,maxv_km_s,halo
0001,2022-01-01 17:12:00,2.0,243.0,8.0,405.0,636.0,300.0,1644.0,
0002,2022-01-01 17:48:00,2.0,307.0,40.0,600.0,155.0,274.0,844.0,
0003,2022-01-02 00:24:00,1.0,247.0,20.0,269.0,80.0,242.0,440.0,
0004,2022-01-02 17:00:00,2.0,309.0,12.0,478.0,180.0,164.0,744.0,
0005,2022-01-02 17:12:00,7.0,242.0,46.0,132.0,26.0,98.0,189.0,
0006,2022-01-02 22:00:00,2.0,227.0,24.0,355.0,56.0,258.0,440.0,
0007,2022-01-03 00:24:00,3.0,142.0,42.0,679.0,156.0,434.0,946.0,
0008,2022-01-03 23:24:00,3.0,40.0,26.0,144.0,49.0,103.0,254.0,
0009,2022-01-04 00:00:00,1.0,204.0,10.0,201.0,41.0,168.0,275.0,
0010,2022-01-04 11:12:00,1.0,282.0,10.0,103.0,5.0,99.0,114.0,
0011,2022-01-05 23:24:00,3.0,249.0,40.0,367.0,46.0,260.0,452.0,
0012,2022-01-06 06:48:00,1.0,106.0,34.0,279.0,78.0,165.0,456.0,
0013,2022-01-07 18:24:00,1.0,40.0,26.0,417.0,38.0,363.0,500.0,
0014,2022-01-08 17:24:00,1.0,82.0,6.0,582.0,459.0,477.0,1488.0,
0015,2022-01-08 22:00:00,2.0,37.0,40.0,613.0,236.0,400.0,1201.0,
0016,2022-01-09 03:12:00,2.0,84.0,22.0,276.0,68.0,186.0,374.0,
0017,2022-01-09 12:00:00,1.0,80.0,22.0,279.0,120.0,262.0,504.0,
0018,2022-01-09 22:36:00,4.0,97.0,156.0,473.0,45.0,367.0,529.0,II
0019,2022-01-10 10:36:00,2.0,224.0,46.0,271.0,58.0,200.0,418.0,
0020,2022-01-11 01:25:00,1.0,87.0,8.0,242.0,75.0,194.0,376.0,
0021,2022-01-11 02:48:00,1.0,34.0,10.0,219.0,23.0,189.0,256.0,
0022,2022-01-11 09:24:00,1.0,88.0,50.0,299.0,83.0,119.0,446.0,
0023,2022-01-11 12:48:00,1.0,57.0,28.0,272.0,118.0,215.0,568.0,
0024,2022-01-12 03:24:00,1.0,77.0,32.0,543.0,97.0,351.0,651.0,
0025,2022-01-12 04:36:00,8.0,75.0,120.0,939.0,498.0,269.0,1838.0,II
0026,2022-01-12 05:12:00,2.0,231.0,124.0,347.0,104.0,204.0,650.0,II
0027,2022-01-12 05:12:00,2.0,47.0,24.0,543.0,147.0,411.0,868.0,
0028,2022-01-12 06:24:00,1.0,291.0,12.0,664.0,95.0,637.0,868.0,
0029,2022-01-12 06:24:00,1.0,293.0,8.0,325.0,2.0,322.0,327.0,
0030,2022-01-12 11:48:00,1.0,53.0,8.0,1250.0,320.0,726.0,1418.0,
0031,2022-01-12 12:48:00,1.0,80.0,14.0,463.0,78.0,369.0,639.0,
0032,2022-01-12 12:48:00,2.0,51.0,8.0,584.0,402.0,359.0,1360.0,
0033,2022-01-12 16:24:00,1.0,56.0,6.0,1562.0,94.0,1420.0,1644.0,
0034,2022-01-12 16:36:00,1.0,69.0,12.0,367.0,198.0,190.0,744.0,
0035,2022-01-13 08:12:00,1.0,66.0,22.0,600.0,142.0,381.0,844.0,
0036,2022-01-14 03:05:00,3.0,54.0,18.0,317.0,148.0,209.0,610.0,
0037,2022-01-14 06:18:00,1.0,61.0,8.0,754.0,398.0,477.0,1539.0,
0038,2022-01-14 13:36:00,4.0,250.0,114.0,1121.0,316.0,512.0,1736.0,II
0039,2022-01-14 14:24:00,0.0,346.0,14.0,644.0,172.0,606.0,976.0,
0040,2022-01-14 14:36:00,1.0,117.0,12.0,548.0,213.0,343.0,893.0,
0041,2022-01-14 14:36:00,3.0,234.0,30.0,548.0,164.0,309.0,946.0,
0042,2022-01-14 23:24:00,2.0,248.0,26.0,407.0,191.0,207.0,744.0,
0043,2022-01-15 06:12:00,6.0,317.0,92.0,164.0,37.0,107.0,268.0,II
0044,2022-01-15 15:24:00,1.0,272.0,10.0,211.0,52.0,120.0,254.0,
0045,2022-01-15 17:00:00,6.0,350.0,62.0,222.0,19.0,179.0,267.0,
0046,2022-01-15 18:36:00,1.0,347.0,24.0,229.0,25.0,211.0,281.0,
0047,2022-01-16 11:12:00,1.0,323.0,16.0,224.0,47.0,171.0,328.0,
0048,2022-01-16 15:24:00,3.0,125.0,68.0,477.0,192.0,156.0,741.0,
